bate,min,dif,tt_unid,ano_lan,ar_ut_un
FALSE,105,-0.35238095238095235,68,2013,74
TRUE,91,0.0219780219780219,93,2011,39.2
FALSE,86,-0.2558139534883721,64,2011,54.3
FALSE,147,-0.23809523809523814,112,2014,44.38
FALSE,83,-0.5180722891566265,40,2014,66
FALSE,48,-0.08333333333333337,44,2011,40.14
FALSE,224,-0.25,168,2011,54.59
FALSE,150,-0.31999999999999995,102,2011,62.48
FALSE,14,-0.4285714285714286,8,2011,78.01
FALSE,41,-0.5121951219512195,20,2011,72.98
FALSE,69,-0.536231884057971,32,2011,79.44
FALSE,61,-0.180327868852459,50,2010,51.01
FALSE,67,-0.25373134328358204,50,2010,57.19
FALSE,79,-0.36708860759493667,50,2010,71.19
FALSE,47,-0.5531914893617021,21,2016,88.59
FALSE,111,-0.7297297297297297,30,2016,164.11
FALSE,64,-0.75,16,2016,164.11
FALSE,90,-0.5666666666666667,39,2016,96.6
FALSE,63,-0.11111111111111116,56,2008,43.88
TRUE,42,0.3571428571428572,57,2015,25.62
FALSE,54,-0.4444444444444444,30,2016,59.64
FALSE,113,-0.4690265486725663,60,2009,98.77
FALSE,107,-0.6261682242990654,40,2013,110
FALSE,122,-0.016393442622950838,120,2013,46
FALSE,167,-0.2574850299401198,124,2013,60
FALSE,50,-0.6799999999999999,16,2012,121
FALSE,14,-0.4285714285714286,8,2013,120
FALSE,118,-0.5423728813559322,54,2008,100
FALSE,138,-0.6086956521739131,54,2008,118
FALSE,75,-0.6266666666666667,28,2010,122
FALSE,366,-0.825136612021858,64,2015,215.13
FALSE,75,-0.36,48,2011,72
FALSE,20,-0.30000000000000004,14,2018,62.29
FALSE,13,-0.46153846153846156,7,2018,81.06
FALSE,15,-0.19999999999999996,12,2010,68
FALSE,132,-0.4545454545454546,72,2012,82
FALSE,12,-0.5833333333333333,5,2013,160
FALSE,75,-0.19999999999999996,60,2010,62.64
FALSE,33,-0.48484848484848486,17,2011,60
FALSE,31,-0.4838709677419355,16,2011,66.11
TRUE,100,0.040000000000000036,104,2018,36.58
FALSE,37,-0.05405405405405406,35,2018,40.78
FALSE,51,-0.2941176470588235,36,2012,58
FALSE,145,-0.496551724137931,73,2014,64.88
FALSE,63,-0.23809523809523814,48,2014,56
FALSE,142,-0.619718309859155,54,2010,120.14
FALSE,142,-0.619718309859155,54,2010,120.14
FALSE,46,-0.21739130434782605,36,2012,61.34
FALSE,115,-0.3739130434782608,72,2012,77.43
FALSE,621,-0.7004830917874396,186,2018,140.56
FALSE,93,-0.7526881720430108,23,2018,170.71
TRUE,7,0.8571428571428572,13,2018,27.18
FALSE,28,-0.4642857142857143,15,2011,82.04
FALSE,185,-0.518918918918919,89,2011,82.04
FALSE,155,-0.6,62,2017,91.17
FALSE,273,-0.7728937728937729,62,2017,91.17
FALSE,54,-0.33333333333333337,36,2013,65
FALSE,183,-0.540983606557377,84,2013,79
FALSE,405,-0.6444444444444444,144,2017,24.85
FALSE,531,-0.728813559322034,144,2017,147.77
FALSE,45,-0.15555555555555556,38,2017,45.43
FALSE,116,-0.18965517241379315,94,2010,60.15
FALSE,35,-0.3142857142857143,24,2010,72.2
FALSE,10,-0.6,4,2010,131.14
FALSE,8,-0.375,5,2012,102
FALSE,360,-0.6888888888888889,112,2016,132.57
FALSE,360,-0.6888888888888889,112,2016,132.57
FALSE,152,-0.26315789473684215,112,2016,52.58
FALSE,152,-0.26315789473684215,112,2016,52.58
FALSE,46,-0.06521739130434778,43,2017,46.63
